Codes	Pop1990	Pop1991	Pop1992	Pop1993	Pop1994	Pop1995	Pop1996	Pop1997	Pop1998	Pop1999	Pop2000	Pop2001	Pop2002	Pop2003	Pop2004	Pop2005	Pop2006	Pop2007	Pop2008	Pop2009	Pop2010	Pop2011	GDP1995	GDP1996	GDP1997	GDP1998	GDP1999	GDP2000	GDP2001	GDP2002	GDP2003	GDP2004	GDP2005	GDP2006	GDP2007	GDP2008	GDP2009
ITD2	445997	448280	449805	451606	453863	455982	458159	460984	463899	467025	470505	474305	477359	483157	490829	497546	502478	507030	513357	519800	524826	529457	:	:	:	:	:	:	:	:	:	:	:	:	31000	31100	30400
ITD3	4364265	4372865	4381173	4388825	4394897	4400073	4409243	4426481	4444340	4464206	4485059	4508549	4529823	4577408	4642899	4699950	4738313	4773554	4832340	4885548	4912438	4937854	:	:	:	:	:	:	:	:	:	:	:	:	30800	30500	29200
ITD4	1200155	1198178	1196164	1191952	1186719	1183131	1180292	1177870	1177178	1177047	1178264	1181210	1183603	1191588	1198187	1204718	1208278	1212602	1222061	1230936	1234079	1235808	:	:	:	:	:	:	:	:	:	:	:	:	30400	29900	28200
ITD5	3901389	3905465	3908466	3901533	3899076	3895014	3897117	3906070	3915305	3927160	3945470	3966338	3984526	4030220	4080479	4151369	4187557	4223264	4275802	4337979	4377435	4414293	:	:	:	:	:	:	:	:	:	:	:	:	32800	32700	31000
ITE1	3533095	3531357	3526897	3521712	3515048	3505309	3498181	3494793	3492712	3490565	3491580	3495077	3497042	3516296	3566071	3598269	3619872	3638211	3677048	3707818	3730130	3749813	:	:	:	:	:	:	:	:	:	:	:	:	28200	28200	27800
ITE2	809605	810623	811504	810885	812455	813664	814173	816105	817638	818737	820844	824194	826196	834210	848022	858938	867878	872967	884450	894222	900790	906486	:	:	:	:	:	:	:	:	:	:	:	:	24900	24800	23400
ITE3	1422531	1426238	1428737	1430147	1432573	1435302	1438376	1442466	1446909	1452150	1457539	1463951	1471123	1484601	1504827	1518780	1528809	1536098	1553063	1569578	1577676	1583460	:	:	:	:	:	:	:	:	:	:	:	:	26900	26400	25600
ITE4	5115628	5130191	5142908	5159157	5157006	5154261	5148923	5143465	5135769	5125728	5119323	5119189	5117075	5145805	5205139	5269972	5304778	5493308	5561017	5626710	5681868	5728688	:	:	:	:	:	:	:	:	:	:	:	:	30600	30300	29500
ITF1	1243014	1245844	1249558	1252191	1252332	1254352	1255514	1257426	1259153	1260492	1261117	1261287	1262379	1273284	1285896	1299272	1305307	1309797	1323987	1334675	1338898	1342366	:	:	:	:	:	:	:	:	:	:	:	:	21700	22000	21000
ITF2	330382	330557	330605	329889	329523	329214	328100	327041	325621	324125	322772	321467	320467	321047	321697	321953	320907	320074	320838	320795	320229	319780	:	:	:	:	:	:	:	:	:	:	:	:	21200	20800	20500
